country,GDP
Aruba,2700558659.2178802
Afghanistan,20191764940.1602
Angola,122123822333.591
Albania,13025062195.7906
Andorra,3013387423.93509
Arab World,2588676963425.26
United Arab Emirates,382575085091.899
Argentina,642695864756.35
Armenia,11527458565.7334
American Samoa,634000000.0
Antigua and Barbuda,1510084750.74074
Australia,1330803227996.08
Austria,416835975862.194
Azerbaijan,40865558912.3867
Burundi,3172416146.3921
Belgium,494901708704.269
Benin,9246696923.66155
Burkina Faso,12322864244.9183
Bangladesh,249723862487.36102
Bulgaria,58220973782.7715
Bahrain,35432686170.2128
"Bahamas, The",12162100000.0
Bosnia and Herzegovina,18080118128.3854
Belarus,54726595249.1849
Belize,1862614800.0
Bermuda,
Bolivia,37508642257.5977
Brazil,2053594973992.61
Barbados,4673500000.0
Brunei Darussalam,12128088999.9276
Bhutan,2528007911.35353
Botswana,17406565823.2986
Central African Republic,2167501639.76783
Canada,1646867220617.47
Central Europe and the Baltics,1455568032701.07
Switzerland,678965423322.021
Channel Islands,
Chile,277746457909.868
China,12143491448186.1
Cote d'Ivoire,38053610009.4172
Cameroon,34922782310.6416
"Congo, Dem. Rep.",38019265625.856
"Congo, Rep.",8701334800.219759
Colombia,311789874617.096
Comoros,1068124329.8625699
Cabo Verde,1771235958.20125
Costa Rica,58174550211.5503
Caribbean small states,69074812658.1643
Cuba,96851000000.0
Curacao,3116610111.7318397
Cayman Islands,3570575151.2672296
Cyprus,22141864998.8731
Czech Republic,215913545038.43
Germany,3693204332229.78
Djibouti,1844674434.5037103
Dominica,496726248.51851904
Denmark,329865537183.47
Dominican Republic,75931656814.657
Algeria,167555280113.181
East Asia & Pacific (excluding high income),14646215900250.9
Early-demographic dividend,11369554644897.9
East Asia & Pacific,23912261117830.8
Europe & Central Asia (excluding high income),3317273632219.24
Europe & Central Asia,21523445203238.8
Ecuador,104295862000.0
"Egypt, Arab Rep.",235369129337.71103
Euro area,12634710106684.0
Eritrea,
Spain,1314314164402.2
Estonia,26611651598.9453
Ethiopia,81716326730.819
European Union,17344924399291.3
Fragile and conflict affected situations,829348955384.778
Finland,252301837573.029
Fiji,5270335184.70768
France,2586285406561.51
Faroe Islands,
"Micronesia, Fed. Sts.",336427500.0
Gabon,14892609693.1667
United Kingdom,2637866340434.13
Georgia,15081330942.4188
Ghana,58996776244.424
Gibraltar,
Guinea,9915311049.151329
"Gambia, The",1489464787.85603
Guinea-Bissau,1346841897.00437
Equatorial Guinea,12289913729.3358
Greece,203085551429.132
Grenada,1126882296.2963
Greenland,
Guatemala,75620095537.5005
Guam,5859000000.0
Guyana,3555205811.1380205
High income,51002983022253.9
"Hong Kong SAR, China",341648103474.824
Honduras,22940179173.6147
Heavily indebted poor countries (HIPC),751960655126.504
Croatia,55201417479.3925
Haiti,8408252995.161429
Hungary,139761138102.757
IBRD only,28632922079785.2
IDA & IBRD total,30781503584021.9
IDA total,2157791845822.82
IDA blend,942180672601.1841
Indonesia,1015423455783.28
IDA only,1216320828718.15
Isle of Man,
India,2652551202555.27
Not classified,
Ireland,331430014003.047
"Iran, Islamic Rep.",454012768723.589
Iraq,193158783783.784
Iceland,24489493459.0074
Israel,353268411918.577
Italy,1946570340341.13
Jamaica,14781107821.7513
Jordan,40765867418.8999
Japan,4859950558538.97
Kazakhstan,162886867831.694
Kenya,78757391333.0088
Kyrgyz Republic,7702934800.12836
Cambodia,22177200511.5811
Kiribati,185572501.53280202
St. Kitts and Nevis,992007403.125926
"Korea, Rep.",1530750923148.7
Kuwait,119551599076.82199
Latin America & Caribbean (excluding high income),5405037342852.1
Lao PDR,16853087485.4118
Lebanon,53393799668.325
Liberia,3285455000.0
Libya,38115981878.5647
St. Lucia,1810139888.8888898
Latin America & Caribbean,5970989904971.94
Least developed countries: UN classification,1077755716481.29
Low income,526941900134.806
Liechtenstein,
Sri Lanka,88019706803.834
Lower middle income,6521854050234.47
Low & middle income,29912421055585.0
Lesotho,2578265355.71255
Late-demographic dividend,20357700189949.0
Lithuania,47544459558.9514
Luxembourg,62316359824.1281
Latvia,30463302413.7289
"Macao SAR, China",50559431846.4989
St. Martin (French part),
Morocco,109708728848.535
Monaco,6400946585.53076
Moldova,9669759987.026329
Madagascar,11465850504.0067
Maldives,4865546025.86599
Middle East & North Africa,3275008659269.25
Mexico,1158071006809.62
Marshall Islands,204173400.0
Middle income,29382511794670.9
North Macedonia,11279509013.9119
Mali,15339614406.6617
Malta,12748803180.3035
Myanmar,66719084835.9898
Middle East & North Africa (excluding high income),1437537340501.73
Montenegro,4844592066.71174
Mongolia,11433635875.9316
Northern Mariana Islands,1593000000.0
Mozambique,12651912500.4128
Mauritania,4975432190.51025
Mauritius,13259351418.4459
Malawi,6303292264.18905
Malaysia,314707268049.991
North America,21138584471481.7
Namibia,13566192142.5835
New Caledonia,
Niger,8119710126.32655
Nigeria,375745486520.656
Nicaragua,13843586679.5401
Netherlands,830572618849.8291
Norway,399488897844.046
Nepal,24880266905.4961
Nauru,113880715.21933702
New Zealand,202590814084.99103
OECD members,49785139926010.5
Oman,70783875162.5488
Other small states,404664548115.563
Pakistan,304951818494.06604
Panama,62283800000.0
Peru,210702303186.432
Philippines,313619747740.18604
Palau,289823500.0
Papua New Guinea,22277692408.8879
Poland,526371021088.56104
Pre-demographic dividend,1304089254135.53
Puerto Rico,104250200000.0
"Korea, Dem. Peopleâ€™s Rep.",
Portugal,219308125506.737
Paraguay,39008900331.6733
West Bank and Gaza,14498100000.0
Pacific island small states,9883385373.76577
Post-demographic dividend,47254338522135.4
French Polynesia,
Qatar,166928571428.57098
Romania,211406933991.363
Russian Federation,1578624060588.26
Rwanda,9135454442.14013
South Asia,3347712176123.4
Saudi Arabia,688586133333.333
Sudan,123053386001.137
Senegal,21081669870.0624
Singapore,338406474038.67
Solomon Islands,1321131090.7350302
Sierra Leone,3739577973.2394295
El Salvador,24927970000.0
San Marino,1632860040.56795
Somalia,7128000000.0
Serbia,44120424391.86
Sub-Saharan Africa (excluding high income),1677659255398.8
South Sudan,
Sub-Saharan Africa,1679162216563.35
Small states,483622746147.49396
Sao Tome and Principe,375040173.816889
Suriname,3068766109.75333
Slovak Republic,95617670260.1145
Slovenia,48455919386.0505
Sweden,535607385506.432
Eswatini,4433664364.24725
Sint Maarten (Dutch part),
Seychelles,1503168689.81984
Syrian Arab Republic,
Turks and Caicos Islands,962525840.0
Chad,9975692095.40855
East Asia & Pacific (IDA & IBRD countries),14618128658743.0
Europe & Central Asia (IDA & IBRD countries),3898846070787.19
Togo,4765866980.38429
Thailand,455275517239.34705
Tajikistan,7157865188.25222
Turkmenistan,37926285714.2857
Latin America & the Caribbean (IDA & IBRD countries),5732278498069.47
Timor-Leste,2487269437.36822
Middle East & North Africa (IDA & IBRD countries),1422817551938.79
Tonga,430174168.740104
South Asia (IDA & IBRD),3347712176123.4
Sub-Saharan Africa (IDA & IBRD countries),1679162216563.35
Trinidad and Tobago,22250455018.8067
Tunisia,39952095560.8829
Turkey,851549231502.615
Tuvalu,40620557.13350929
Tanzania,53320625958.5628
Uganda,25995031850.1545
Ukraine,112190355158.17801
Upper middle income,22851037576513.0
Uruguay,56488991831.0239
United States,19485393853000.0
Uzbekistan,59159949231.4924
St. Vincent and the Grenadines,785222509.144563
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),3855000000.0
Vietnam,223779865815.183
Vanuatu,849708342.6984121
World,80885580989211.6
Samoa,841538412.998896
Kosovo,7227764976.792741
"Yemen, Rep.",26818703092.5852
South Africa,348871647962.32104
Zambia,25868142076.7897
Zimbabwe,22813010116.1292
