country,code,GDP_pc
Aruba,ABW,39454.6298308169
Afghanistan,AFG,1934.6367541203501
Angola,AGO,6650.584939847779
Albania,ALB,12930.0676756249
Andorra,AND,
Arab World,ARB,17102.1269199991
United Arab Emirates,ARE,73355.8769793479
Argentina,ARG,20843.1550677175
Armenia,ARM,9620.818491000358
American Samoa,ASM,
Antigua and Barbuda,ATG,25145.5412294362
Australia,AUS,49653.7158885249
Austria,AUT,53879.29785451679
Azerbaijan,AZE,17525.2796310656
Burundi,BDI,737.97858286726
Belgium,BEL,49411.8690997742
Benin,BEN,2276.59572978031
Burkina Faso,BFA,1866.1706199357102
Bangladesh,BGD,3998.4194235515
Bulgaria,BGR,20948.0970565215
Bahrain,BHR,47660.4799076737
"Bahamas, The",BHS,31581.104389648797
Bosnia and Herzegovina,BIH,13735.030237224599
Belarus,BLR,18915.9398914361
Belize,BLZ,8500.444799660809
Bermuda,BMU,
Bolivia,BOL,7480.0771405755795
Brazil,BRA,15662.247017596299
Barbados,BRB,18526.008560408
Brunei Darussalam,BRN,79789.60508529481
Bhutan,BTN,10173.0510685791
Botswana,BWA,17784.855810529498
Central African Republic,CAF,829.346498086113
Canada,CAN,46723.3177643637
Central Europe and the Baltics,CEB,29617.865480409702
Switzerland,CHE,66299.62501109889
Channel Islands,CHI,
Chile,CHL,24248.8607595513
China,CHN,16782.2077583531
Cote d'Ivoire,CIV,3921.7133363581897
Cameroon,CMR,3644.80109612329
"Congo, Dem. Rep.",COD,888.6772799659719
"Congo, Rep.",COG,5614.398973966209
Colombia,COL,14507.261250854599
Comoros,COM,2751.08790965604
Cabo Verde,CPV,7026.984122427951
Costa Rica,CRI,16976.1874153378
Caribbean small states,CSS,15753.1762229694
Cuba,CUB,
Curacao,CUW,27626.640889190698
Cayman Islands,CYM,72607.571471824
Cyprus,CYP,36155.4807539388
Czech Republic,CZE,38019.5805142033
Germany,DEU,52574.2604824888
Djibouti,DJI,
Dominica,DMA,10383.9407632773
Denmark,DNK,54356.4482739471
Dominican Republic,DOM,16451.5400448466
Algeria,DZA,15266.4852082981
East Asia & Pacific (excluding high income),EAP,14900.4347919603
Early-demographic dividend,EAR,9818.819787496372
East Asia & Pacific,EAS,18095.9201590457
Europe & Central Asia (excluding high income),ECA,20780.6138006848
Europe & Central Asia,ECS,33536.984764297704
Ecuador,ECU,11501.010292442199
"Egypt, Arab Rep.",EGY,11742.0500882009
Euro area,EMU,45136.1558085221
Eritrea,ERI,
Spain,ESP,39037.3783388467
Estonia,EST,33447.8277198239
Ethiopia,ETH,1897.24907750157
European Union,EUU,42550.415117029705
Fragile and conflict affected situations,FCS,4531.87762540927
Finland,FIN,46343.5772169122
Fiji,FJI,10318.9586799074
France,FRA,44255.941640102305
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3504.3966506056604
Gabon,GAB,17762.408644601102
United Kingdom,GBR,44896.2645843105
Georgia,GEO,10674.175802685699
Ghana,GHA,4457.3558457773
Gibraltar,GIB,
Guinea,GIN,2435.2184751916197
"Gambia, The",GMB,1612.1395585064001
Guinea-Bissau,GNB,1734.71490884792
Equatorial Guinea,GNQ,24532.9520019804
Greece,GRC,28579.7945258539
Grenada,GRD,14739.065754668702
Greenland,GRL,
Guatemala,GTM,8166.85775480185
Guam,GUM,
Guyana,GUY,8140.415340194771
High income,HIC,48890.9486533842
"Hong Kong SAR, China",HKG,61706.8146996776
Honduras,HND,4916.72379248824
Heavily indebted poor countries (HIPC),HPC,2422.54786578297
Croatia,HRV,26295.5122942987
Haiti,HTI,1818.60656533786
Hungary,HUN,28798.6425572425
IBRD only,IBD,13859.2033841044
IDA & IBRD total,IBT,11309.628850839099
IDA total,IDA,3832.72395051323
IDA blend,IDB,5300.08684889344
Indonesia,IDN,12279.1832757753
IDA only,IDX,3067.8869186287297
Isle of Man,IMN,
India,IND,7168.992550744
Not classified,INX,
Ireland,IRL,76807.4933739969
"Iran, Islamic Rep.",IRN,21011.288308854
Iraq,IRQ,17415.4693927853
Iceland,ISL,55322.0901345058
Israel,ISR,38867.7615971076
Italy,ITA,40981.2816111757
Jamaica,JAM,8970.780291138659
Jordan,JOR,9129.93211751891
Japan,JPN,41958.9621557727
Kazakhstan,KAZ,26490.84377438
Kenya,KEN,3258.15449926677
Kyrgyz Republic,KGZ,3733.60613756865
Cambodia,KHM,4019.6799851104497
Kiribati,KIR,2227.92099492537
St. Kitts and Nevis,KNA,30452.101320101603
"Korea, Rep.",KOR,38824.1153902612
Kuwait,KWT,72621.6260603286
Latin America & Caribbean (excluding high income),LAC,15608.3749448255
Lao PDR,LAO,6939.555068714621
Lebanon,LBN,12813.869552599399
Liberia,LBR,1293.41593414343
Libya,LBY,19056.8042971544
St. Lucia,LCA,13569.3057084931
Latin America & Caribbean,LCN,16160.2230214371
Least developed countries: UN classification,LDC,2843.3118492629806
Low income,LIC,2159.2781423752804
Liechtenstein,LIE,
Sri Lanka,LKA,12878.5886712171
Lower middle income,LMC,7150.81671535899
Low & middle income,LMY,11104.945946583799
Lesotho,LSO,3131.0037302656397
Late-demographic dividend,LTE,17811.5251014496
Lithuania,LTU,33252.6768339907
Luxembourg,LUX,107640.559218408
Latvia,LVA,28362.012043723
"Macao SAR, China",MAC,116013.00697929699
St. Martin (French part),MAF,
Morocco,MAR,8261.06085184946
Monaco,MCO,
Moldova,MDA,6858.89202760189
Madagascar,MDG,1560.4023148833098
Maldives,MDV,14668.6930327615
Middle East & North Africa,MEA,20098.7383682445
Mexico,MEX,19432.2141906251
Marshall Islands,MHL,3886.2182004397496
Middle income,MIC,12207.1510337113
North Macedonia,MKD,15298.883502409299
Mali,MLI,2221.7578857519397
Malta,MLT,41548.5120108714
Myanmar,MMR,6172.39264948407
Middle East & North Africa (excluding high income),MNA,13744.7614468163
Montenegro,MNE,19354.9298194866
Mongolia,MNG,12787.284256081799
Northern Mariana Islands,MNP,
Mozambique,MOZ,1294.74827318321
Mauritania,MRT,4066.6706384247295
Mauritius,MUS,22355.190523948702
Malawi,MWI,1269.64459550158
Malaysia,MYS,30004.078626204
North America,NAC,58594.472318628206
Namibia,NAM,11104.419376271899
New Caledonia,NCL,
Niger,NER,1012.8591963130699
Nigeria,NGA,5887.5730776004
Nicaragua,NIC,5687.18163082839
Netherlands,NLD,54422.0080155625
Norway,NOR,62182.8421398992
Nepal,NPL,2866.54201625742
Nauru,NRU,15039.3175663984
New Zealand,NZL,40438.5709468742
OECD members,OED,44183.3444427617
Oman,OMN,41068.336814276096
Other small states,OSS,26399.3455766402
Pakistan,PAK,5249.2063652526
Panama,PAN,24472.009849744503
Peru,PER,13772.2901725032
Philippines,PHL,8340.33133072608
Palau,PLW,18124.6534724604
Papua New Guinea,PNG,4269.43124398009
Poland,POL,29930.991776801602
Pre-demographic dividend,PRE,3899.8840665963503
Puerto Rico,PRI,39006.3905970833
"Korea, Dem. Peopleâ€™s Rep.",PRK,
Portugal,PRT,32554.2975164832
Paraguay,PRY,12971.6838450747
West Bank and Gaza,PSE,5117.75456253195
Pacific island small states,PSS,6115.004002754549
Post-demographic dividend,PST,47037.1977325004
French Polynesia,PYF,
Qatar,QAT,124609.304140088
Romania,ROU,26595.426427646602
Russian Federation,RUS,25766.9288144165
Rwanda,RWA,2082.2936354878
South Asia,SAS,6563.349789608871
Saudi Arabia,SAU,53693.364236490095
Sudan,SDN,4880.2615167413205
Senegal,SEN,3556.1377583473704
Singapore,SGP,96552.6026075455
Solomon Islands,SLB,2339.38066750728
Sierra Leone,SLE,1544.42928960789
El Salvador,SLV,7972.768589865041
San Marino,SMR,63037.125778043206
Somalia,SOM,
Serbia,SRB,16433.382459360902
Sub-Saharan Africa (excluding high income),SSA,3878.0237104399603
South Sudan,SSD,
Sub-Saharan Africa,SSF,3880.3221061826503
Small states,SST,23213.625704203398
Sao Tome and Principe,STP,3312.72796857403
Suriname,SUR,15002.419861673101
Slovak Republic,SVK,32371.2229547652
Slovenia,SVN,36153.3831240136
Sweden,SWE,51404.7853914838
Eswatini,SWZ,10526.1100493887
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,29062.2628539554
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,23873.4206133785
Chad,TCD,1929.4727515883499
East Asia & Pacific (IDA & IBRD countries),TEA,15057.4288269427
Europe & Central Asia (IDA & IBRD countries),TEC,21589.3120491638
Togo,TGO,1682.7492021670498
Thailand,THA,17917.2068895954
Tajikistan,TJK,3216.58070235526
Turkmenistan,TKM,18032.2219588979
Latin America & the Caribbean (IDA & IBRD countries),TLA,16075.8342217518
Timor-Leste,TLS,7416.22335499345
Middle East & North Africa (IDA & IBRD countries),TMN,13849.5082713824
Tonga,TON,6321.60693306938
South Asia (IDA & IBRD),TSA,6563.349789608871
Sub-Saharan Africa (IDA & IBRD countries),TSS,3880.3221061826503
Trinidad and Tobago,TTO,31428.7976775167
Tunisia,TUN,12047.051134045802
Turkey,TUR,27878.6092367084
Tuvalu,TUV,3903.6550046645293
Tanzania,TZA,3090.49437114677
Uganda,UGA,1945.3586041961398
Ukraine,UKR,8693.69364884734
Upper middle income,UMC,17908.2837148447
Uruguay,URY,22728.134750687597
United States,USA,59927.929833953494
Uzbekistan,UZB,6644.5688858410995
St. Vincent and the Grenadines,VCT,11776.6715734858
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,6857.98404387187
Vanuatu,VUT,3110.31028343763
World,WLD,17136.6371983104
Samoa,WSM,6677.68551022861
Kosovo,XKX,10759.6489225281
"Yemen, Rep.",YEM,2645.30838302614
South Africa,ZAF,13458.9637418502
Zambia,ZMB,4090.12004042731
Zimbabwe,ZWE,2825.72512228756
